ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
AFG	20343461030	34385000	Afghanistan	AFG	1	5	6	0.01744946924531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ALB	12959563902	3205000	Albania	ALB	4	7	11	0.343213728549142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
DZA	188681000000	35468000	Algeria	ALG	18	21	39	0.109958272245404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ASM	537000000	68420	American Samoa	ASA	1	4	5	7.30780473545747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AND	3491000000	84864	Andorra	AND	2	4	6	7.07013574660634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AGO	100990000000	19082000	Angola	ANG	30	5	35	0.183418928833456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ATG	1128708617	88000	Antigua and Barbuda	ANT	2	3	5	5.68181818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ARG	445989000000	40412000	Argentina	ARG	43	99	142	0.351380777986737	0	0	1	1	0.002474512521033	0	0	0.002474512521033	0.002242207767456	0	0	0.002242207767456	0.007042253521127	0	0	0.007042253521127	0.4	0	0	0.4	0.35	0	0	0.35	0.89	0	0	0.89	0.35	0.4	0.89	61	68	67	70		1
ARM	10247788877	3092000	Armenia	ARM	4	21	25	0.808538163001294	0	1	1	1	0.032341526520052	0.032341526520052	0	0.032341526520052	0.09758202593775	0.09758202593775	0	0.09758202593775	0.04	0.04	0	0.04	5.6	6.5	0	12.1	15.31	19.86	0	35.17	5.03	6	0	11.03	55.03	18.6	17.03	45	4	16	24		3
ABW	2456000000	108000	Aruba	ARU	1	3	4	3.7037037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AUS	1371760000000	22299000	Australia	AUS	188	225	413	1.85210099107583	2	12	8	22	0.035876048253285	0.053814072379927	0.008969012063321	0.098659132696534	0.005831923951712	0.008747885927568	0.001457980987928	0.016037790867207	0.019370460048426	0.029055690072639	0.004842615012107	0.053268765133172	6.2	10.8	1	18	0.92	1.78	0.13	2.83	2.44	4.36	0.84	7.64	4.87	30.8	13.68	9	33	7	33		38
AUT	418484000000	8390000	Austria	AUT	31	39	70	0.834326579261025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
AZE	63403650746	9054000	Azerbaijan	AZE	14	39	53	0.585376629114204	0	1	2	3	0.022089684117517	0.011044842058759	0	0.033134526176276	0.031543924939152	0.015771962469576	0	0.047315887408727	0.037735849056604	0.018867924528302	0	0.056603773584906	3.8	2.2	0	6	4.95	3.21	0	8.16	4.75	2.83	0	7.58	11.37	8.2	10.41	40	23	35	44		4
BHS	7787514000	343000	Bahamas	BAH	11	15	26	7.5801749271137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BHR	22945000000	1262000	Bahrain	BRN	8	4	12	0.950871632329636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BGD	110612000000	148692000	Bangladesh	BAN	1	4	5	0.003362655690958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BRB	3685000000	274000	Barbados	BAR	0	6	6	2.18978102189781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BLR	55136144037	9490000	Belarus	BLR	77	95	172	1.81243414120126	3	2	3	8	0.031612223393045	0.021074815595364	0.031612223393045	0.084299262381454	0.054410769058982	0.036273846039322	0.054410769058982	0.145095384157287	0.017441860465116	0.011627906976744	0.017441860465116	0.046511627906977	5.5	4.2	3.4	13.1	8.54	7.38	4.83	20.75	2.2	1.75	3.04	6.99	37.79	24.1	14.82	15	8	9	29		16
BEL	511533000000	10896000	Belgium	BEL	44	74	118	1.08296622613803	0	1	2	3	0.018355359765051	0.009177679882526	0	0.027533039647577	0.003909816179992	0.001954908089996	0	0.005864724269988	0.016949152542373	0.008474576271186	0	0.025423728813559	3.2	1.8	0	5	0.61	0.4	0	1.01	2.13	1.27	0	3.4	1.41	6.8	4.67	40	49	39	62		4
BLZ	1474000000	345000	Belize	BIZ	1	2	3	0.869565217391304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BEN	7294865847	8850000	Benin	BEN	1	4	5	0.056497175141243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BMU	6015000000	64600	Bermuda	BER	3	5	8	12.3839009287926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BTN	1688939892	726000	Bhutan	BHU	2	0	2	0.275482093663912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BOL	24426829466	9929000	Bolivia	BOL	2	3	5	0.050357538523517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BIH	18088238053	3760000	Bosnia and Herzegovina	BIH	2	4	6	0.159574468085106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BWA	17627441191	2007000	Botswana	BOT	1	3	4	0.199302441454908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BRA	2476650000000	194946000	Brazil	BRA	128	138	266	0.136448042021893	2	1	5	8	0.00256481281996	0.000512962563992	0.001025925127984	0.004103700511937	0.002018856116125	0.000403771223225	0.00080754244645	0.003230169785799	0.018796992481203	0.003759398496241	0.007518796992481	0.030075187969925	0.4	0.1	0.1	0.6	0.32	0.08	0.07	0.47	2.37	0.56	1.31	4.24	0.69	0.9	7.42	21	61	63	53		13
VGB	909000000	88000	British Virgin Islands	IVB	1	1	2	2.27272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BRN	13024000000	399000	Brunei	BRU	1	2	3	0.75187969924812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BGR	53514098360	7534000	Bulgaria	BUL	26	37	63	0.836209185027874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BFA	10187211704	16468000	Burkina Faso	BUR	3	2	5	0.03036191401506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MMR	50200000000	47963000	Burma	MYA	3	3	6	0.012509642849697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
BDI	2325972144	8382000	Burundi	BDI	4	2	6	0.071581961345741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
KHM	12875310959	14139000	Cambodia	CAM	3	3	6	0.042435815828559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CMR	25464850391	19599000	Cameroon	CMR	27	10	37	0.188785142099087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CAN	1736050000000	34126000	Canada	CAN	158	121	279	0.817558459825353	1	3	6	10	0.017581902361836	0.008790951180918	0.002930317060306	0.029303170603059	0.003456121655482	0.001728060827741	0.000576020275914	0.005760202759137	0.021505376344086	0.010752688172043	0.003584229390681	0.03584229390681	3.1	1.8	0.3	5.2	0.54	0.35	0.05	0.94	2.71	1.61	0.63	4.95	1.39	7.6	7.82	19	50	37	50		15
CPV	1901136230	496000	Cape Verde	CPV	2	1	3	0.604838709677419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CYM	3208000000	56230	Cayman Islands	CAY	1	4	5	8.89205050684688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CAF	2165868600	4401000	Central African Republic	CAF	3	3	6	0.136332651670075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TCD	9485741541	11227000	Chad	CHA	2	1	3	0.026721296873608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CHL	248585000000	17113688	Chile	CHI	14	21	35	0.204514655169593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CHN	7298100000000	1338300000	China	CHN	208	163	371	0.02772173653142	31	19	14	64	0.001046103265337	0.001419711574385	0.002316371516103	0.004782186355825	0.001918307504693	0.002603417327798	0.004247680903249	0.008769405735739	0.037735849056604	0.051212938005391	0.08355795148248	0.172506738544474	0.2	0.3	0.2	0.7	0.3	0.53	0.38	1.21	4.75	7.69	14.58	27.02	2.5	1.4	63.87	1	44	57	1		145
COL	331655000000	46295000	Colombia	COL	63	46	109	0.23544659250459	0	3	1	4	0.002160060481693	0.00648018144508	0	0.008640241926774	0.003015181438543	0.009045544315629	0	0.012060725754172	0.009174311926606	0.027522935779816	0	0.036697247706422	0.4	1.3	0	1.7	0.47	1.84	0	2.31	1.15	4.13	0	5.28	4.15	3	9.41	33	35	50	46		7
COM	610114091.7	735000	Comoros	COM	2	1	3	0.408163265306122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
COG	14748024198	4043000	Congo-Brazzaville	CGO	3	4	7	0.173138758347762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
COK	248000000	20000	Cook Islands	COK	5	3	8	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
CRI	41006959585	4659000	Costa Rica	CRC	3	8	11	0.236102167847178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
HRV	63850068202	4418000	Croatia	CRO	45	65	110	2.48981439565414	2	1	0	3	0	0.022634676324129	0.045269352648257	0.067904028972386	0	0.01566169039689	0.031323380793779	0.046985071190668	0	0.009090909090909	0.018181818181818	0.027272727272727	0	4.5	4.8	9.3	0	3.19	2.78	5.97	0	1.36	3.17	4.53	14.72	23.4	12.23	30	16	10	36		8
CUB	64100000000	11258000	Cuba	CUB	45	65	110	0.97708296322615	3	3	1	7	0.008882572392965	0.026647717178895	0.026647717178895	0.062178006750755	0.015600624024961	0.046801872074883	0.046801872074883	0.109204368174727	0.009090909090909	0.027272727272727	0.027272727272727	0.063636363636364	1.5	5.4	2.9	9.8	2.45	9.52	4.15	16.12	1.14	4.09	4.76	9.99	33.94	21	23.6	15	9	12	15		16
CYP	24689602446	1103000	Cyprus	CYP	4	9	13	1.17860380779692	0	1	0	1	0	0.090661831368994	0	0.090661831368994	0	0.040502879792704	0	0.040502879792704	0	0.076923076923077	0	0.076923076923077	0	18.2	0	18.2	0	8.24	0	8.24	0	11.55	0	11.55	16.48	36.4	23.1	53	15	6	18		2
CZE	215215000000	10520000	Czech Republic	CZE	65	68	133	1.26425855513308	1	3	1	5	0.009505703422053	0.02851711026616	0.009505703422053	0.047528517110266	0.004646516274423	0.01393954882327	0.004646516274423	0.023232581372116	0.007518796992481	0.022556390977444	0.007518796992481	0.037593984962406	1.7	5.7	1	8.4	0.73	2.84	0.41	3.98	0.95	3.39	1.31	5.65	7.64	16.1	11.66	26	28	20	39		10
COD	15642236881	65965000	Democratic Republic of Congo	COD	1	3	4	0.006063821723641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
DNK	332677000000	5547000	Denmark	DEN	50	65	115	2.07319271678385	2	4	2	8	0.036055525509284	0.072111051018569	0.036055525509284	0.144222102037137	0.006011837307659	0.012023674615318	0.006011837307659	0.024047349230635	0.017391304347826	0.034782608695652	0.017391304347826	0.069565217391304	6.3	14.5	3.9	24.7	0.94	2.45	0.53	3.92	2.19	5.22	3.03	10.44	7.43	47	21.72	15	29	4	19		16
DJI	1140000000	889000	Djibouti	DJI	3	3	6	0.674915635545557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
DMA	482277143.1	68000	Dominica	DMA	1	1	2	2.94117647058824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
DOM	55611245616	9927000	Dominican Republic	DOM	20	15	35	0.352573788657198	1	1	0	2	0	0.010073536818777	0.010073536818777	0.020147073637554	0	0.017981974489568	0.017981974489568	0.035963948979136	0	0.028571428571429	0.028571428571429	0.057142857142857	0	2	1.1	3.1	0	3.66	1.6	5.26	0	4.29	4.99	9.28	12.12	7.3	23.55	35	22	38	16		5
TLS	1054000000	1124000	East Timor	TLS	1	1	2	0.177935943060498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ECU	67002768302	14465000	Ecuador	ECU	13	23	36	0.248876598686485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
EGY	229531000000	81121000	Egypt	EGY	35	81	116	0.142996264838944	0	2	0	2	0	0.002465452842051	0	0.002465452842051	0	0.008713419973773	0	0.008713419973773	0	0.017241379310345	0	0.017241379310345	0	0.5	0	0.5	0	1.77	0	1.77	0	2.59	0	2.59	3.54	1	5.18	40	36	62	59		4
SLV	23054100000	6193000	El Salvador	ESA	5	5	10	0.161472630389149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
GNQ	19789801404	700000	Equatorial Guinea	GEQ	1	1	2	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ERI	2608715447	5254000	Eritrea	ERI	1	11	12	0.228397411496003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
EST	22184722472	1340000	Estonia	EST	9	24	33	2.46268656716418	0	1	0	1	0	0.074626865671642	0	0.074626865671642	0	0.045076065353629	0	0.045076065353629	0	0.03030303030303	0	0.03030303030303	0	15	0	15	0	9.17	0	9.17	0	4.55	0	4.55	18.34	30	9.1	53	14	8	47		2
ETH	31708848033	82950000	Ethiopia	ETH	17	18	35	0.042194092827004	2	0	2	4	0.002411091018686	0	0.002411091018686	0.004822182037372	0.063073877610393	0	0.063073877610393	0.126147755220786	0.057142857142857	0	0.057142857142857	0.114285714285714	0.4	0	0.3	0.7	9.9	0	5.6	15.5	7.19	0	9.97	17.16	26.7	1.3	37.1	30	11	60	5		8
FJI	3812749216	860000	Fiji	FIJ	3	6	9	1.04651162790698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
FIN	266071000000	5364000	Finland	FIN	28	28	56	1.04399701715138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
FRA	2773030000000	64895000	France	FRA	148	187	335	0.516218506818707	8	9	9	26	0.013868556899607	0.013868556899607	0.012327606132984	0.040064719932198	0.003245547289427	0.003245547289427	0.002884930923935	0.009376025502789	0.026865671641791	0.026865671641791	0.023880597014925	0.077611940298508	2.4	2.8	1.3	6.5	0.51	0.66	0.26	1.43	3.38	4.03	4.17	11.58	2.61	11.9	23.95	5	43	26	14		51
